"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","Verify Login Page UI","chromium","2026-02-25","passed","2026-02-25","Login Page","login/login-test.spec.ts","",""
"","5489","Verify Product Filter Based On Price","chromium","2026-02-25","passed","2026-02-25","Home Page","home/home-test.spec.ts","",""
"","787","Verify Add Multiple Product To Cart & Remove Multiple Product From Cart","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
"","334","Verify Login With Locked Username & Password","chromium","2026-02-25","passed","2026-02-25","Login Page","login/login-test.spec.ts","",""
"","361","Verify Login With Valid Username & Password","chromium","2026-02-25","passed","2026-02-25","Login Page","login/login-test.spec.ts","",""
"","466","Verify Login With Invalid Username & Password","chromium","2026-02-25","passed","2026-02-25","Login Page","login/login-test.spec.ts","",""
"","473","Verify Cart Page UI","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
"","754","Verify All Products","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
"","387","Verify Footer Content","chromium","2026-02-25","passed","2026-02-25","Home Page","home/home-test.spec.ts","",""
"","1082","Verify Add Single Product To Cart & Checkout","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
"","1153","Verify Multiple Product To Cart & Checkout","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
"","1344","Verify Navigation Menu","chromium","2026-02-25","passed","2026-02-25","Home Page","home/home-test.spec.ts","",""
"","423","Verify Product Filter Options","chromium","2026-02-25","passed","2026-02-25","Home Page","home/home-test.spec.ts","",""
"","704","Verify Add Single Product To Cart & Remove Product From Cart","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
