"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","637","Verify Add Single Product To Cart & Remove Product From Cart","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
"","244","Verify Login Page UI","chromium","2026-02-25","passed","2026-02-25","Login Page","login/login-test.spec.ts","",""
"","1019","Verify Multiple Product To Cart & Checkout","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
"","368","Verify Footer Content","chromium","2026-02-25","passed","2026-02-25","Home Page","home/home-test.spec.ts","",""
"","428","Verify Product Filter Options","chromium","2026-02-25","passed","2026-02-25","Home Page","home/home-test.spec.ts","",""
"","419","Verify Login With Locked Username & Password","chromium","2026-02-25","passed","2026-02-25","Login Page","login/login-test.spec.ts","",""
"","359","Verify Login With Valid Username & Password","chromium","2026-02-25","passed","2026-02-25","Login Page","login/login-test.spec.ts","",""
"","432","Verify Cart Page UI","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
"","956","Verify Add Single Product To Cart & Checkout","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
"","609","Verify All Products","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
"","1301","Verify Navigation Menu","chromium","2026-02-25","passed","2026-02-25","Home Page","home/home-test.spec.ts","",""
"","731","Verify Add Multiple Product To Cart & Remove Multiple Product From Cart","chromium","2026-02-25","passed","2026-02-25","Cart Page","cart/cart-test.spec.ts","",""
"","460","Verify Login With Invalid Username & Password","chromium","2026-02-25","passed","2026-02-25","Login Page","login/login-test.spec.ts","",""
"","5449","Verify Product Filter Based On Price","chromium","2026-02-25","passed","2026-02-25","Home Page","home/home-test.spec.ts","",""
